Year,untotal,unwithin,unbetween,unoverlap,wtotal,wwithin,wbetween,woverlap
1997,0.318865049751244,0.157217039800995,0.033271144278607,0.128376865671642,0.243883814223167,0.124902358822502,0.0104535649494352,0.10852789045123
1998,0.325265592475523,0.15860920514995,0.0196977873718294,0.146958599953743,0.241466587135751,0.124086687715397,0.0338661607014889,0.0835137387188646
1999,0.323199459592237,0.162566015720953,0.0190226602800295,0.141610783591254,0.239428495475973,0.119217745135622,0.0210542879657384,0.0991564623746129
2000,0.323708762012437,0.162690785754664,0.0175277934803091,0.143490182777464,0.240385362327661,0.119725744514442,0.0221100320161519,0.0985495857970671
2001,0.323932168930783,0.160684471552229,0.0299568739796075,0.133290823398947,0.237548586557121,0.120212346900295,0.014008466221232,0.103327773435594
2002,0.328266419122766,0.163098940202677,0.0261437301771485,0.139023748742941,0.243672632212967,0.123517520465527,0.0142876510375617,0.105867460709878
2003,0.325180870631515,0.161879215205396,0.0315021459227468,0.131799509503373,0.241805971580924,0.121573323002743,0.0120234416244199,0.10820920695376
2004,0.32066778472328,0.159539563957921,0.0310748589724043,0.130053361792956,0.235952851145083,0.118828362151689,0.0124905947322562,0.104633894261138
2005,0.322391221519469,0.162249485635906,0.0222190048007316,0.137922731082831,0.233168214938736,0.11682141195915,0.0123487955266531,0.103998007452933
2006,0.333466843294632,0.165690017922544,0.0256245616769267,0.142152263695162,0.242726232963463,0.123372994457396,0.0107545895321689,0.108598648973898
2007,0.331247291860105,0.164787991333953,0.0278953884246363,0.138563912101516,0.238009768258294,0.121218850624028,0.00597076612697239,0.110820151507294
2008,0.33681774349084,0.16799099967856,0.0336001285760205,0.13522661523626,0.242823375362669,0.123566502743165,0.000208339780663924,0.11904853283884
2009,0.3339173553719,0.166561113527621,0.04163549369291,0.12572074815137,0.240343458382011,0.121713944903547,0.00180701756343304,0.116822495915031
2010,0.335648179652942,0.169758421231712,0.0613099693773392,0.104579789043891,0.245063070086875,0.122917587424256,0.0118604019876823,0.110285080674937
2011,0.34276102492592,0.170751263726686,0.0352553599442217,0.136754401255012,0.256109331290265,0.130439912522381,0.000946770583018675,0.124722648184865
2012,0.349505165851006,0.174014863150263,0.0396338589813304,0.135856443719413,0.253513840082093,0.128499287675326,0.00266642435570802,0.122348128051058
2013,0.34506374573532,0.16950619500808,0.0558448554498114,0.119712695277429,0.2540748075855,0.129029650812997,0.0109232194496492,0.114121937322854
2014,0.341855873642645,0.172560351790362,0.0822740734093153,0.0870214484429682,0.252082887656073,0.123981571269899,0.0297500444706397,0.0983512719155343
2015,0.335166837066641,0.164844316386281,0.0562784645413142,0.114044056139046,0.242234900238493,0.123653704159518,0.00830257620697439,0.110278619872001
2016,0.332709190016258,0.167765133403462,0.0261279525676581,0.138816104045139,0.238652371887152,0.11980730202231,0.0114688371184168,0.107376232746425
2017,0.339257120862202,0.168714395688992,0.0419707467282525,0.128571978444958,0.240257384035143,0.12191874678634,0.0013878557555419,0.116950781493261
2018,0.339351209450591,0.168786799174949,0.0550984436527283,0.115465966622914,0.242015372391908,0.121180298147512,0.0127801246747942,0.108054949569602
2019,0.333912706110572,0.16599806013579,0.0451794374393793,0.122735208535403,0.237903693316515,0.120696304981275,0.00252542585649262,0.114681962478747
2020,0.351638551627806,0.175117653379177,0.0480670463092296,0.128453851939399,0.254718074759662,0.129643384718765,0.00296933810743466,0.122105351933462
2021,0.346606325638158,0.172441777687379,0.0429004373029595,0.131264110647819,0.250350837248416,0.127402135080976,0.000884845706187132,0.122063856461252
