Year,nat_ave,Dem,Rep,Poor,Rich
1997,20.4815786765463,17.8775357109849,27.0409594143666,22.6317875164546,19.0357349216887
1998,20.3724347867151,17.7347167509594,26.978482317896,22.7833299034487,18.6004002092433
1999,20.3742961539843,17.806444477995,26.7711490001881,22.8638246017878,18.5156830868425
2000,20.8221264733143,18.1110616911109,27.5438801710078,23.3631156407266,18.6320918930713
2001,20.2308418513557,15.0492509038016,25.3707327015612,22.7451367089584,18.1241681637823
2002,20.1872983800732,14.9304285624119,25.3763362107755,22.8067315267357,17.9962733594785
2003,20.2447587371649,15.0153533044315,25.3814014308698,22.9003944384183,18.0248024805651
2004,20.3909406342069,15.227472176958,25.421541101443,23.0050540485724,18.2039260171696
2005,20.3076807279977,14.8659922382902,25.3057232990764,22.9837376620288,18.0630241518186
2006,19.8252984255221,14.2152463964345,24.9245415328603,22.3763678543892,17.3960556935804
2007,19.9329281110099,14.50042122112,24.8238839553772,22.3148658518771,17.7504732343737
2008,19.1174045836738,13.9313662819099,23.7556360708535,21.2724930062406,17.0472901917214
2009,17.6110675280224,14.4543307385248,24.6017564304462,19.399115850819,15.8867543465709
2010,18.0795656990341,14.7192800241059,25.4885892245406,20.2014636398393,16.3502648457663
2011,17.5215743843378,14.0624116328794,25.1260256924517,19.3542312242337,16.0310599390055
2012,16.6883978623693,13.3899809337798,23.9110321371838,17.9846808665574,15.6764999801045
2013,16.9723664770746,13.2086546975283,23.4858351152704,18.9792166250201,15.3106743168449
2014,17.051025103549,13.2713242935493,23.5695042576728,19.0951165780604,15.3589337797491
2015,16.4474064237955,12.8970911751474,22.5449392506304,18.2764342015433,14.9322355454758
2016,16.0564857839458,12.5683379046608,22.0228199091979,17.7181649520488,14.7255699497785
2017,15.8556559370463,11.1059536384139,19.4664120273665,17.4067623979588,14.5958010747282
2018,16.2325758737206,11.360413597774,19.921208872319,17.7297265184882,15.0124108877004
2019,15.7456733938906,11.1972046357286,19.1707695929713,16.9817260742188,14.7340432263221
2020,13.8808764494637,9.44104292028889,17.2510930080453,15.1143842675938,12.9119685013871
2021,14.8145535698119,11.0948182419035,19.7604884804938,16.1522250536649,13.5757690072076
