Year,dem_gini,dem_wtgini,rep_gini,rep_wtgini,un_gini,wt_gini
1997,0.249629652024066,0.221704217639282,0.339409340435583,0.191234348368178,0.318865049751244,0.243883814223167
1998,0.247991779837319,0.216585016055495,0.351366442781704,0.193638043319214,0.325265592475523,0.241466587135751
1999,0.248411197366746,0.217262703051679,0.347523231513236,0.190875928291341,0.323199459592237,0.239428495475977
2000,0.251280180281109,0.217494838470351,0.343506285721404,0.187350294740509,0.323708762012437,0.240385362327665
2001,0.174531367534226,0.158603194774267,0.324732017484846,0.210381352919747,0.323932168930783,0.237548586557121
2002,0.179787234042553,0.16640844554668,0.32946283421535,0.215988540615603,0.328266419122766,0.243672632212967
2003,0.178631326744534,0.169123174062665,0.326305489751777,0.211910733210784,0.325180870631515,0.241805971580924
2004,0.176856803327392,0.164590883562456,0.320255674049768,0.206852553926579,0.32066778472328,0.235952851145083
2005,0.139463927766839,0.15331949466715,0.312372155661995,0.20124031547661,0.322391221519469,0.233168214938736
2006,0.140588887427423,0.152584280189783,0.31735221484797,0.210363578746142,0.333466843294632,0.242726232963463
2007,0.138814637293759,0.151290605000582,0.318095463879874,0.210040756196403,0.331247291860105,0.238009768258294
2008,0.14393998289668,0.15792275465639,0.32061918519893,0.217118078248783,0.33681774349084,0.242823375362669
2009,0.192523996437642,0.189511448106101,0.330376630627886,0.195538937863498,0.3339173553719,0.240343458382011
2010,0.197368421052632,0.195531964230209,0.325869664474252,0.192933910929458,0.335648179652942,0.245063070086875
2011,0.203161868806041,0.201223646795237,0.331436253078044,0.201786780570393,0.34276102492592,0.256109331290265
2012,0.200580878956904,0.19185507353321,0.341761404145548,0.208250781052868,0.349505165851006,0.253513840082089
2013,0.186488749345893,0.183439947715017,0.336264460226004,0.214651155186784,0.34506374573532,0.2540748075855
2014,0.181966322650734,0.181668907476693,0.332735781619979,0.212500056344735,0.341855873642645,0.252082887656073
2015,0.167770962019365,0.166789785909044,0.334776536312849,0.211429509250674,0.335166837066641,0.242234900238493
2016,0.165324089358425,0.158809852272821,0.331059082639089,0.211019332207181,0.332709190016258,0.238652371887152
2017,0.153855619360131,0.138189229449379,0.327172910904367,0.208740843362959,0.339257120862202,0.240257384035143
2018,0.141851553045584,0.13558063521045,0.327450022393226,0.213651810761975,0.339351209450591,0.242015372391908
2019,0.14649408887077,0.135077408642829,0.324564082983327,0.213898470448656,0.333912706110572,0.237903693316515
2020,0.151282660332542,0.141647788036472,0.335379061371841,0.221122871363329,0.351638551627806,0.254718074759662
2021,0.148325946130242,0.153169845856576,0.327744927536232,0.223907560154293,0.346606325638158,0.250350837248416
