Year,nat_ave,Dem,Rep
1997,20.4815786765463,17.8775357109849,27.0409594143666
1998,20.3724347867151,17.7347167509594,26.978482317896
1999,20.3742961539843,17.806444477995,26.7711490001881
2000,20.8221264733143,18.1110616911109,27.5438801710078
2001,20.2308418513557,15.0492509038016,25.3707327015612
2002,20.1872983800732,14.9304285624119,25.3763362107755
2003,20.2447587371649,15.0153533044315,25.3814014308698
2004,20.3909406342069,15.227472176958,25.421541101443
2005,20.3076807279977,14.8659922382902,25.3057232990764
2006,19.8252984255221,14.2152463964345,24.9245415328603
2007,19.9329281110099,14.50042122112,24.8238839553772
2008,19.1174045836738,13.9313662819099,23.7556360708535
2009,17.6110675280224,14.4543307385248,24.6017564304462
2010,18.0795656990341,14.7192800241059,25.4885892245406
2011,17.5215743843378,14.0624116328794,25.1260256924517
2012,16.6883978623693,13.3899809337798,23.9110321371838
2013,16.9723664770746,13.2086546975283,23.4858351152704
2014,17.051025103549,13.2713242935493,23.5695042576728
2015,16.4474064237955,12.8970911751474,22.5449392506304
2016,16.0564857839458,12.5683379046608,22.0228199091979
2017,15.8556559370463,11.1059536384139,19.4664120273665
2018,16.2325758737206,11.360413597774,19.921208872319
2019,15.7456733938906,11.1972046357286,19.1707695929713
2020,13.8808764494637,9.44104292028889,17.2510930080453
2021,14.8145535698119,11.0948182419035,19.7604884804938
