Year,total,within,between,overlap,wtotal,wwithin,wbetween,woverlap
1997,0.318865049751244,0.144278606965174,0.109250621890547,0.0653358208955224,0.243883814223167,0.154877034786827,0.0569508698904206,0.03205590954592
1998,0.325265592475523,0.144863156271683,0.117847505974867,0.0625549302289727,0.241466587135751,0.150821236629515,0.0604404701135605,0.0302048803926751
1999,0.323199459592237,0.144394804716286,0.117233173667404,0.0615714812085472,0.239428495475973,0.14931287923478,0.0610017987663829,0.0291138174748106
2000,0.323708762012437,0.145638439796495,0.115236480120596,0.0628338420953461,0.240385362327661,0.151709402272451,0.0585242394256108,0.0301517206295988
2001,0.323932168930783,0.144070172196038,0.12126266826849,0.0585993284662545,0.237548586557121,0.147199217384994,0.0634872362023209,0.0268621329698061
2002,0.328266419122766,0.146925040612671,0.119764833294655,0.0615765452154404,0.243672632212967,0.152022091566823,0.0623992189401052,0.0292513217060384
2003,0.325180870631515,0.145367872470877,0.119083384426732,0.0607296137339063,0.241805971580924,0.150820117992157,0.0623733666467486,0.0286124869420183
2004,0.32066778472328,0.144390913248971,0.114712608629364,0.0615642628449454,0.235952851145083,0.147163687170404,0.0613729364722352,0.027416227502443
2005,0.322391221519469,0.144892174045569,0.115811933246971,0.0616871142269292,0.233168214938736,0.144213834573821,0.0625219117531562,0.0264324686117585
2006,0.333466843294632,0.149715577027975,0.120299228551391,0.0634520377152661,0.242726232963463,0.149116299814848,0.0657682252645725,0.0278417078840423
2007,0.331247291860105,0.147644692045806,0.122516248839369,0.0610863509749304,0.238009768258294,0.14502749028579,0.0655011187615906,0.0274811592109141
2008,0.33681774349084,0.14771456123433,0.132545805207329,0.0565573770491815,0.242823375362669,0.146193797783328,0.0700040959961727,0.0266254815831679
2009,0.3339173553719,0.144840365376251,0.135537190082645,0.0535397999130051,0.240343458382011,0.143390433589395,0.0706472806837393,0.0263057441088766
2010,0.335648179652942,0.146515821708064,0.135301122830895,0.0538312351139834,0.245063070086875,0.147732734976659,0.0707384630452286,0.026591872064987
2011,0.34276102492592,0.149192957991982,0.139044796932195,0.0545232700017438,0.256109331290265,0.154240726139954,0.0739401294721801,0.0279284756781303
2012,0.349505165851006,0.151042233097698,0.145495740438644,0.0529671923146645,0.253513840082093,0.151351543115679,0.0748116999532082,0.0273505970132052
2013,0.34506374573532,0.147943975579099,0.149021368288741,0.0480984018674805,0.2540748075855,0.152679898475844,0.0741724409379289,0.027222468171727
2014,0.341855873642645,0.147322983038679,0.145454545454545,0.0490783451494208,0.252082887656073,0.151995575837724,0.0723258755202197,0.0277614362981289
2015,0.335166837066641,0.146164141648852,0.137875267218143,0.0511274281996459,0.242234900238493,0.147056320177339,0.0668739290077552,0.0283046510533988
2016,0.332709190016258,0.145320837716362,0.136387109113512,0.0510012431863836,0.238652371887152,0.145399326234765,0.0647724170324887,0.0284806286198984
2017,0.339257120862202,0.147921478060046,0.139549653579677,0.0517859892224792,0.240257384035143,0.14664637280727,0.064185691971408,0.029425319256465
2018,0.339351209450591,0.148010500656291,0.138346146634165,0.052994562160135,0.242015372391908,0.147394678217193,0.0635063906231635,0.0311143035515516
2019,0.333912706110572,0.145850630455868,0.135499515033948,0.0525625606207567,0.237903693316515,0.145937983160912,0.0609989608858377,0.0309667492697645
2020,0.351638551627806,0.155089717416998,0.136907703878801,0.0596411303320073,0.254718074759662,0.157428038371106,0.0646482832136186,0.0326417531749371
2021,0.346606325638158,0.153261466490389,0.133102817044646,0.0602420421031226,0.250350837248416,0.153746601596925,0.0642805763826646,0.0323236592688262
