Year...1,Party,party_CO2,party_price,party_expnd,party_gdp,party_PVG,Year...8,HDD,HDD_CO2,HDD_price,HDD_expnd,HDD_gdp,HDD_PVG,n()...15,Year...16,CDD,CDD_CO2,CDD_price,CDD_expnd,CDD_gdp,CDD_PVG,n()...23
1997,Dem,17.8775357109849,9.80176644861828,1980.91683217121,43277.6459965701,15.2448306387101,1997,High_hdays,19.9740911427252,9.43755033235471,2039.27419394182,44586.1037399706,14.4866607385183,25,1997,High_cdays,24.2406479848596,8.78485031614263,2278.79583745537,39702.2480966923,-0.0561741917389887,16
1997,Rep,27.0409594143666,8.08772084120127,2336.33001500297,40648.3079489899,-6.61253786392175,1997,Low_hdays,20.8519349732022,9.22499818804875,2113.0377686933,41030.2599863945,5.05378123568017,25,1997,Low_cdays,18.5294991065446,9.58980840964932,1979.67872905964,43999.1254690641,13.7536771169654,34
1998,Dem,17.7347167509594,9.16075085775281,1816.35920858007,44538.5861793783,15.2193974412335,1998,High_hdays,18.6905951421665,9.00130894085769,1848.45665671959,45841.311358263,15.4165041285868,25,1998,High_cdays,24.53647408399,8.14746255336842,2076.33342460474,40801.5307939599,-0.0223674119924246,17
1998,Rep,26.978482317896,7.49684229956463,2131.98443618403,42136.4775950302,-6.60274577924182,1998,Low_hdays,21.5422683206248,8.46660127619212,1946.74284975178,42470.2354057084,4.52404461691487,25,1998,Low_cdays,18.0484661708606,8.98648662568909,1811.59554623561,45556.259641616,14.023622367037,33
1999,Dem,17.806444477995,9.47251855766085,1911.9836164163,46188.4311215118,15.2002590325642,1999,High_hdays,19.4422249531835,9.10015433832709,1968.25148798377,47625.005758427,14.674070368027,27,1999,High_cdays,23.8162404535224,8.62346969140511,2154.15395278319,42327.261227411,0.949788211340246,19
1999,Rep,26.7711490001881,7.8749442738043,2222.19278756347,43370.4718360183,-6.58714532454553,1999,Low_hdays,21.169015368239,8.94222573348413,2028.62618255605,43468.1468564966,4.08698666680166,23,1999,Low_cdays,18.2527171622775,9.25618827599417,1906.33884454867,47263.7041949396,13.8965565408602,31
2000,Dem,18.1110616911109,11.2660995410169,2299.44647390375,47667.2877988249,15.1810819835263,2000,High_hdays,19.8179188355952,10.8361465885852,2358.97562589081,49219.3144868935,14.6594032812551,27,2000,High_cdays,24.9977335500366,10.3067718818017,2698.47334169732,42411.0436257877,-0.240472900418969,19
2000,Rep,27.5438801710078,9.58918598329462,2775.85663767113,44337.8962832996,-6.57258088720651,2000,Low_hdays,21.6722362407129,10.7401169859079,2501.8888299442,44586.4747240929,4.07777628108143,23,2000,Low_cdays,18.3313216918018,11.0688990248327,2280.02257965756,49275.0148883093,14.3985704207096,31
2001,Dem,15.0492509038016,12.0524060893634,2252.31226487036,50043.5659280913,12.74195280255,2001,High_hdays,19.5668035130214,11.3572192425254,2378.22903680269,48608.8768053256,5.1015640974506,26,2001,High_cdays,24.182147778662,10.5803585777226,2669.56833938241,42462.8368398579,-11.3161317986359,17
2001,Rep,25.3707327015612,10.4440711479061,2631.23215804109,43223.9506139116,-12.2830237561592,2001,Low_hdays,20.7252534658324,11.1614288430867,2490.41881548276,45139.1451478346,-3.48626163959052,24,2001,Low_cdays,17.9856583641667,11.6226417279199,2313.53586139586,48982.1263571748,6.7105463454431,33
2002,Dem,14.9304285624119,11.3255536386779,2126.5865582462,50327.4065276697,12.7358589888397,2002,High_hdays,19.5086347801139,10.7026005983852,2239.63583753433,48941.9448010164,5.07145477671304,26,2002,High_cdays,23.2087963040318,10.0639702417751,2475.55912212401,43934.3271232602,-9.94624864963003,21
2002,Rep,25.3763362107755,9.86643132558478,2485.54073668981,43735.5744754494,-12.2800399976262,2002,Low_hdays,20.6889103632123,10.5089574990155,2357.18846021023,45582.2192905395,-3.49329328179443,24,2002,Low_cdays,18.0261813423204,10.9683937449209,2186.83158552034,49210.0164503561,7.36562857762048,29
2003,Dem,15.0153533044315,12.7458303246581,2393.30207772837,51232.4206894629,12.7262591041534,2003,High_hdays,19.6924644222933,11.9505023196038,2531.09103896307,50445.1317237164,5.9295361059492,26,2003,High_cdays,23.6598110528299,11.3683371489843,2855.68427468823,43811.8397716405,-10.9215494339544,17
2003,Rep,25.3814014308698,11.1034964570568,2806.56473693219,44455.4489028857,-12.2764970919994,2003,Low_hdays,20.6799883901168,11.8911620999067,2657.49013653964,45739.8713093849,-4.47064176989927,24,2003,Low_cdays,18.3442457181563,12.2228270382436,2460.48344138739,50040.6412551474,6.25385967980951,33
2004,Dem,15.227472176958,14.1578284505773,2702.07506084665,52613.2991020352,12.7109593847834,2004,High_hdays,19.8099913363149,13.3487170721427,2855.14377814722,51743.0939346399,5.87526060890759,26,2004,High_cdays,23.1619915848527,12.9175476598618,3261.31976434125,46118.0589666338,-9.93381262450202,19
2004,Rep,25.421541101443,12.6056056450305,3233.90345146733,45793.222180187,-12.2688845658985,2004,Low_hdays,20.8444667860929,13.389466237707,3062.25522733643,47141.3611669652,-4.48288807918619,24,2004,Low_cdays,18.579886608613,13.6683536181698,2782.0105962101,51146.1375691014,6.58867670270804,31
2005,Dem,14.8659922382902,16.7759702845488,3174.87092899735,54119.3736668414,9.87304078082397,2005,High_hdays,19.7480801967089,15.913309930017,3401.51280953282,52631.2652014375,3.32939221619746,27,2005,High_cdays,22.848876135432,15.6647575715758,3872.95592535169,47328.345098262,-13.381689215478,20
2005,Rep,25.3057232990764,15.258489592819,3868.63175881358,46972.3042864576,-14.7422013952143,2005,Low_hdays,20.7620933704407,16.0431901874413,3646.09982982227,48577.2334199581,-8.06283589938694,23,2005,Low_cdays,18.4850123722745,16.2146703152747,3295.16437716515,52592.7989170621,4.51905464260571,30
2006,Dem,14.2152463964345,18.9002314462215,3455.51629573214,55169.620024823,9.86093903578963,2006,High_hdays,19.3140168930616,17.8102748947203,3664.56998462071,52942.1818621017,3.02216148678493,26,2006,High_cdays,22.8086851865728,17.5935876854488,4382.8113732579,47584.7586730106,-15.067560996722,16
2006,Rep,24.9245415328603,17.028578351249,4270.04255780115,47857.8115942029,-14.760828364047,2006,Low_hdays,20.1910258034789,17.998090254579,4037.88251411128,50192.7988422993,-7.37145936380471,24,2006,Low_cdays,18.1579936664137,18.1020583108692,3602.43449187364,53437.6330864456,3.68620942334279,34
2007,Dem,14.50042122112,19.8803609162963,3689.47349887323,55798.4450903168,9.85589725311505,2007,High_hdays,19.6463633597079,18.7391852195919,3913.06343658904,53642.702221546,2.96557710761202,26,2007,High_cdays,22.2974176878081,18.566762677742,4473.00398047017,48146.662603237,-13.5600420441108,19
2007,Rep,24.8238839553772,17.9235449862529,4459.87275416364,48042.3942040894,-14.7843008682945,2007,Low_hdays,20.1364821662211,18.9297874736902,4224.02887650037,50349.1004721543,-7.42647631677029,24,2007,Low_cdays,18.2232898929464,19.0558749971345,3821.47847007313,54298.497805057,4.44502713640472,31
2008,Dem,13.9313662819099,22.9469832651751,4141.58319817997,55611.9233743213,9.85765295260047,2008,High_hdays,19.1270305134412,21.4716109536247,4419.66940693082,53144.5888170468,2.92523003718927,26,2008,High_cdays,21.5143191459451,22.16915562024,5121.35770658816,47025.6890902926,-13.7708258023959,19
2008,Rep,23.7556360708535,21.1565367187207,5063.92111248424,47278.0493702331,-14.8104466027901,2008,Low_hdays,19.1106104716515,22.3760860010791,4775.83951261184,49849.0368014028,-7.46211782634701,24,2008,Low_cdays,17.5298718938784,21.8910259991346,4302.01425926839,53985.7484322199,3.86089932711173,31
2009,Dem,14.4543307385248,18.5371085268378,3222.60916400391,51303.8873391677,16.0820855107164,2009,High_hdays,17.6882147551108,17.6144411014869,3394.17509303099,51614.1503459961,13.8221873962878,26,2009,High_cdays,20.1092191926829,17.5400852684224,3774.6367628973,44395.8638711499,-8.22479522217745,16
2009,Rep,24.6017564304462,16.1917375328084,4036.64762204724,45107.3557060367,-13.4071309731006,2009,Low_hdays,17.5568995230206,17.9430421609722,3533.19078507021,47804.8909062608,2.05389915279846,24,2009,Low_cdays,16.2149043087779,17.9569414957258,3308.85875833066,52159.6402987582,15.3659553912586,34
2010,Dem,14.7192800241059,20.2594098288103,3568.11201340892,52258.7772368595,16.0778765006559,2010,High_hdays,18.5935319829507,19.18208364712,3774.71497635925,52678.0048135525,13.4072016420778,27,2010,High_cdays,20.2595495639105,19.1960792172402,4299.46208867533,46004.8635483797,-5.24112408190532,20
2010,Rep,25.4885892245406,17.8650511782415,4710.92033011523,45506.9158829025,-13.4114817670761,2010,Low_hdays,17.7116283076649,19.7487151170223,4032.06405795813,48343.743729262,2.20127957796577,23,2010,Low_cdays,16.4569103945488,19.7476973450027,3645.74143016154,53238.948273037,15.8961339761508,30
2011,Dem,14.0624116328794,23.2089968138711,4016.15184734653,52518.2252186077,16.0748880341447,2011,High_hdays,17.4811377104694,21.9366645502148,4278.83603220142,53468.145956793,13.7843626971115,26,2011,High_cdays,19.6773210217233,22.3425553608891,4905.05691588153,46241.9668548999,-5.23836474042024,20
2011,Rep,25.1260256924517,20.9369966161663,5464.40638505765,46025.96601767,-13.4095983564689,2011,Low_hdays,17.5497028256104,22.8895436600979,4601.22168118913,48415.549156461,2.03690827469678,24,2011,Low_cdays,15.9107026267734,22.6152569742941,4143.09703610058,53661.436291614,15.8938662133383,30
2012,Dem,13.3899809337798,23.515359375,3924.53075520833,53144.1012602307,16.0668773895531,2012,High_hdays,16.5796094530469,22.1924171141359,4169.26779236389,54398.7827172827,13.76357217081,26,2012,High_cdays,19.2197716463486,22.1560327067405,4714.23570017259,46285.0582051903,-6.11911713028447,20
2012,Rep,23.9110321371838,20.709066534968,5181.78514520793,46844.5713209238,-13.4063371729342,2012,Low_hdays,16.7636957367272,22.9422958037123,4422.1092628406,48933.7744171222,2.02557533123619,24,2012,Low_cdays,14.93818150402,22.9671243594659,4045.20258589502,54546.0723931813,15.7777932110142,30
2013,Dem,13.2086546975283,23.1435791358809,3927.08519882143,54157.1533943963,14.8356491007775,2013,High_hdays,17.4409953518192,21.5126296682161,4250.51221990704,54970.2302853021,9.10346852492758,25,2013,High_cdays,19.1230484423703,21.7295403743822,4760.04520570356,46137.3954002996,-10.4992889269518,16
2013,Rep,23.4858351152704,20.5665499389669,5101.99759589996,47204.5862125685,-16.0579558214641,2013,Low_hdays,16.6656241803666,22.6496203195652,4427.3007018685,49412.1775653871,-0.131721388843906,25,2013,Low_cdays,15.7189495975431,22.4738969569843,4122.67822868785,54800.9874044039,11.6932628349521,34
2014,Dem,13.2713242935493,23.1609461441691,3965.89350557652,55071.826364545,14.8220948076944,2014,High_hdays,18.2448612253061,21.6140573913172,4374.9774671674,55272.7615015963,7.99860033522477,27,2014,High_cdays,17.0842651393814,22.5007973376377,4467.44403866408,49396.3283393266,-2.60189667618908,18
2014,Rep,23.5695042576728,20.3956759537959,5108.77055216828,47879.12877638,-16.0527153040466,2014,Low_hdays,16.1689619693412,22.5390590572512,4393.0297349511,50332.9682685625,0.159237187094532,23,2014,Low_cdays,17.0171099736114,21.7840368804248,4301.6072629002,55529.1607604998,9.70609326858533,32
2015,Dem,12.8970911751474,19.2190503804114,3253.20776741266,56281.5583915444,14.8024938776839,2015,High_hdays,16.7904762278547,17.7697142789862,3497.83500239409,56860.316718604,9.30697034050871,25,2015,High_cdays,18.5091730442993,17.3536151773583,3709.12862296869,48157.3799636149,-8.97992443068657,19
2015,Rep,22.5449392506304,16.2783450360421,3977.03111590351,48714.8682872159,-16.0488790257502,2015,Low_hdays,16.2205540243845,18.3796973990855,3533.93844381121,51273.1796764298,-0.423733457757047,25,2015,Low_cdays,15.0321750172562,18.674558426025,3389.45004188906,57162.3558252146,11.9812423224814,31
2016,Dem,12.5683379046608,17.6994060715093,2968.76836248169,57032.8706216022,14.7731437560067,2016,High_hdays,15.6297302154395,16.4786932737167,3153.84499716054,57403.6754606034,9.66168036107606,27,2016,High_cdays,17.8778112227794,16.0055730151144,3377.00887108854,48772.6229876531,-8.19016673890786,20
2016,Rep,22.0228199091979,15.0504765427947,3641.35529090298,48826.3020262317,-16.0416027650051,2016,Low_hdays,16.3804126130157,16.906868789934,3264.7851547708,51425.4788318937,-1.34531015583396,23,2016,Low_cdays,14.6549194500096,17.2735018250679,3093.71495348135,58031.7051513571,12.3266267005213,30
2017,Dem,11.1059536384139,19.7382280396243,3199.81843329812,62474.4728439293,20.7688654973114,2017,High_hdays,15.8010441687193,17.6861530223521,3417.15603475973,57917.5417667488,4.65188038198059,26,2017,High_cdays,15.8222547984347,18.3926115286664,3577.93303869806,52594.5826573079,-0.357807326578973,17
2017,Rep,19.4664120273665,16.9196537411903,3723.84822991325,49168.7749806037,-11.9497858275592,2017,Low_hdays,15.8925122481324,18.4411891400753,3551.76873151164,52889.1606996278,0.51330009329521,24,2017,Low_cdays,15.8885565868612,17.8851263774252,3418.32707309761,57201.2542783546,4.68158079951728,33
2018,Dem,11.360413597774,21.5219267308554,3566.85730165169,64303.0746568177,20.7460702214934,2018,High_hdays,16.7410831855215,18.9688953191234,3816.33400700478,59038.1040570604,3.2586279153871,26,2018,High_cdays,17.8781147799293,18.6693896845128,4097.93157113344,50305.0335445919,-8.72474011197697,20
2018,Rep,19.921208872319,18.0423775530545,4142.14449628524,50047.2030213727,-11.9319552492061,2018,Low_hdays,15.8821656083944,19.9362964439979,3947.97131995732,54226.8804911903,1.38299229641522,24,2018,Low_cdays,14.9509351529135,20.2209783515782,3735.64234560023,60773.0220793176,10.6166562720658,30
2019,Dem,11.1972046357286,21.0719254190559,3473.04105433694,65846.492649201,20.7164410088006,2019,High_hdays,15.8448460396605,18.274956952004,3640.78913104708,60353.4651695657,4.57197070717558,26,2019,High_cdays,17.2421716943798,17.9706337348561,3875.24914985941,51051.0444197591,-8.70974928090116,20
2019,Rep,19.1707695929713,17.3603407333686,3923.9273886918,50742.2659946172,-11.9201381778941,2019,Low_hdays,15.6792926693808,19.4096423603504,3790.1239489654,55139.964699708,0.443920616830878,24,2019,Low_cdays,14.5715936139965,19.7267074280049,3616.48404316163,62078.3930464243,10.5792236242985,30
2020,Dem,9.44104292028889,19.8329331082359,2795.37258411382,62498.3593129391,20.6988941470383,2020,High_hdays,13.7786337732453,16.9684515596881,2967.11752924415,57227.0225179964,4.64017199707136,26,2020,High_cdays,15.8281900403182,15.9213835592325,3199.03128641001,48777.390315253,-10.2075383517404,16
2020,Rep,17.2510930080453,15.6608327173919,3227.57020456346,48846.6346040338,-11.9338395683878,2020,Low_hdays,13.9499316289529,17.7939881085023,3091.01277221806,53056.3469653384,0.464669708340676,24,2020,Low_cdays,12.7825106022855,18.3297051217194,2951.96853166029,58099.513037147,9.11693875818135,34
2021,Dem,11.0948182419035,22.7975239127561,3603.43131685393,63233.5754553866,16.4578601454065,2021,High_hdays,14.7819408363991,20.306574367445,3771.94590659959,60909.0662812523,7.0440918987912,26,2021,High_cdays,16.7492378630797,19.7957798320068,4243.6179689565,51348.7870715733,-6.94970777409028,18
2021,Rep,19.7604884804938,18.8185346991289,4457.32825706391,51486.1095776767,-12.449344404058,2021,Low_hdays,14.8364723573461,21.6157731162828,4103.05427507418,56364.1744948832,2.03678017076075,24,2021,Low_cdays,13.4644400151666,21.9923941670168,3778.99918120984,62965.7846243711,11.725186764088,32
