Year,untotal,unwithin,unbetween,unoverlap,wtotal,wwithin,wbetween,woverlap
1997,0.318865049751244,0.192450248756219,0.023125,0.103289800995025,0.243883814223167,0.123571936799254,0.0627322608724817,0.0575796165514316
1998,0.325265592475523,0.19013800015419,0.0205180787911495,0.114609513530183,0.241466587135751,0.116475383652264,0.0732134329207909,0.0517777705626959
1999,0.323199459592237,0.17963768115942,0.0331411201179072,0.110420658314909,0.239428495475973,0.115649760996576,0.0644214534622266,0.0593572810171705
2000,0.323708762012437,0.176975315620878,0.0161560203504805,0.130577426041078,0.240385362327661,0.113298162469555,0.0749276469855658,0.0521595528725408
2001,0.323932168930783,0.189312139974741,0.0190268921541447,0.115593136801898,0.237548586557121,0.114349314369352,0.0707673329043346,0.0524319392834346
2002,0.328266419122766,0.17301771486037,0.0406389726928135,0.114609731569583,0.243672632212967,0.115053980774928,0.0624127675435968,0.0662058838944415
2003,0.325180870631515,0.190944206008584,0.0244727161250766,0.109763948497854,0.241805971580924,0.121050761713067,0.0603123352033108,0.0604428746645458
2004,0.32066778472328,0.179076078670529,0.0378746760176856,0.103717030035065,0.235952851145083,0.115343921677593,0.0537122842406624,0.0668966452268272
2005,0.322391221519469,0.175168787624781,0.0420025908709898,0.105219843023698,0.233168214938736,0.112276170359307,0.0522653911233094,0.0686266534561196
2006,0.333466843294632,0.201809397646692,0.0255248188264631,0.106132626821477,0.242726232963463,0.123597312439872,0.0539494822160873,0.0651794383075036
2007,0.331247291860105,0.184398019189105,0.0356793562364593,0.111169916434541,0.238009768258294,0.115369681663223,0.0497778200700659,0.0728622665250052
2008,0.33681774349084,0.187769206043073,0.0377467052394728,0.111301832208295,0.242823375362669,0.119955981609046,0.0499549142379235,0.0729124795156991
2009,0.3339173553719,0.200958677685951,0.0219573727707699,0.11100130491518,0.240343458382011,0.122717708296336,0.0508555372939423,0.0667702127917322
2010,0.335648179652942,0.18196665532494,0.0418849948962232,0.111796529431779,0.245063070086875,0.117722023441466,0.051452495323043,0.0758885513223659
2011,0.34276102492592,0.185713787693917,0.0430189994770786,0.114028237754925,0.256109331290265,0.122969602075859,0.0526179513385095,0.080521777875896
2012,0.349505165851006,0.188355990574588,0.0327714337502266,0.128377741526192,0.253513840082093,0.120393756917826,0.0620052238556932,0.0711148593085738
2013,0.34506374573532,0.209323038247441,0.0346704973963009,0.101070210091578,0.2540748075855,0.129149246786996,0.0466581128662751,0.0782674479322293
2014,0.341855873642645,0.195130575249035,0.0365682491250112,0.110157049268599,0.252082887656073,0.123924659001602,0.000984521147699313,0.127173707506771
2015,0.335166837066641,0.186913281903522,0.0440951761316108,0.104158379031508,0.242234900238493,0.117125836357707,0.0510228946543908,0.0740861692263959
2016,0.332709190016258,0.180608205030123,0.0463612890886488,0.105739695897486,0.238652371887152,0.113376622717117,0.0493293041947849,0.07594644497525
2017,0.339257120862202,0.19995765973826,0.0434257120862202,0.0958737490377213,0.240257384035143,0.117926589533883,0.00104533692387815,0.121285457577381
2018,0.339351209450591,0.184035252203263,0.0513219576223514,0.103993999624977,0.242015372391908,0.115151750724305,0.0443851444042881,0.0824784772633144
2019,0.333912706110572,0.181113482056256,0.0537342386032977,0.0990649854510188,0.237903693316515,0.113762642740842,0.0417837407038075,0.0823573098718648
2020,0.351638551627806,0.2126807779091,0.0388137960674761,0.100143977651229,0.254718074759662,0.128487579764607,0.0505919984944395,0.0756384965006156
2021,0.346606325638158,0.19720329502695,0.0381246821926167,0.111278348418591,0.250350837248416,0.119807821587514,0.0536763760777729,0.0768666395831291
