Year,total,within,between,overlap,wtotal,wwithin,wbetween,woverlap
1997,0.318865049751244,0.15654539800995,0.120404228855721,0.0419154228855722,0.243883814223167,0.103308002576423,0.11277401479631,0.0278017968504351
1998,0.325265592475523,0.15388173618071,0.0910230514224038,0.0803608048724085,0.241466587135751,0.0945297909407964,0.121194614273727,0.0257421819212268
1999,0.323199459592237,0.154780766396463,0.0850700073691967,0.0833486858265773,0.239428495475973,0.0942847770959678,0.119497097989016,0.0256466203909895
2000,0.323708762012437,0.153082947051065,0.0812474090823441,0.0893784058790283,0.240385362327661,0.0985998597006187,0.103120526375508,0.0386649762515346
2001,0.323932168930783,0.150450666913101,0.0948535255521671,0.0786279764655151,0.237548586557121,0.085396332675414,0.132469994581588,0.0196822593001198
2002,0.328266419122766,0.154564864237642,0.0859348650112169,0.0877666898739072,0.243672632212967,0.0885722659477631,0.132381025763239,0.0227193405019639
2003,0.325180870631515,0.151814837522992,0.090907418761496,0.082458614347027,0.241805971580924,0.0852730496349932,0.136479565161405,0.0200533567845255
2004,0.32066778472328,0.154200335416984,0.0813050769934441,0.0851623723128518,0.235952851145083,0.0857650708034857,0.128576574015532,0.0216112063260649
2005,0.322391221519469,0.151829612131372,0.0877177474662806,0.0828438619218162,0.233168214938736,0.0937407400257574,0.112205512635593,0.0272219622773863
2006,0.333466843294632,0.155845086885374,0.0930554040364686,0.0845663523727896,0.242726232963463,0.100186212760773,0.109883573830762,0.0326564463719283
2007,0.331247291860105,0.157455896007428,0.0786536675951718,0.0951377282575056,0.238009768258294,0.104096917284951,0.0852368599900197,0.0486759909833231
2008,0.33681774349084,0.154214079074253,0.0985213757634201,0.0840822886531677,0.242823375362669,0.102945241113851,0.102230837298096,0.0376472969507224
2009,0.3339173553719,0.152668116572423,0.100608960417573,0.0806402783819047,0.240343458382011,0.100049095720894,0.106872593649322,0.0334217690117956
2010,0.335648179652942,0.153232391970058,0.102351139843484,0.0800646478394001,0.245063070086875,0.104805713157628,0.103714186557322,0.0365431703719246
2011,0.34276102492592,0.162137005403521,0.128293533205508,0.0523304863168913,0.256109331290265,0.101894912827653,0.127612701832812,0.0266017166297998
2012,0.349505165851006,0.16615914446257,0.140833786478158,0.0425122349102778,0.253513840082093,0.104344315687313,0.1222170873135,0.0269524370812792
2013,0.34506374573532,0.158380319626504,0.171549649847369,0.015133776261447,0.2540748075855,0.103337092213216,0.133636848349471,0.017100867022813
2014,0.341855873642645,0.151829848335278,0.175336982859194,0.0146890424481731,0.252082887656073,0.101765090593666,0.13237326469119,0.0179445323712171
2015,0.335166837066641,0.158594664931685,0.165701273352542,0.010870898782414,0.242234900238493,0.0987522309119881,0.129612391192212,0.013870278134293
2016,0.332709190016258,0.139506550635938,0.184599789614612,0.00860284976570844,0.238652371887152,0.0856382308523592,0.143989355896193,0.00902478513860042
2017,0.339257120862202,0.147428791377983,0.183056197074673,0.00877213240954627,0.240257384035143,0.0854846223172681,0.146751943696845,0.00802081802102989
2018,0.339351209450591,0.149049315582224,0.179763735233452,0.0105381586349149,0.242015372391908,0.0976923009642516,0.12538838909169,0.0189346823359665
2019,0.333912706110572,0.157109602327837,0.166653734238603,0.0101493695441318,0.237903693316515,0.100112607510847,0.123787696938071,0.0140033888675967
2020,0.351638551627806,0.15866552057591,0.183204039969915,0.0097689910819804,0.254718074759662,0.102260443831848,0.135756613098487,0.0167010178293276
2021,0.346606325638158,0.141675989016577,0.197685345265941,0.00724499135563969,0.250350837248416,0.0926570164149501,0.144368352379382,0.0133254684540832
