Year,total,within,between,overlap,wtotal,wwithin,wbetween,woverlap
1997,0.318865049751244,0.126532960199005,0.159745024875622,0.0325870646766171,0.243883814223167,0.099834648102316,0.130054106474888,0.0139950596459632
1998,0.325265592475523,0.115684218641585,0.196638655462185,0.012942718371753,0.241466587135751,0.0837685786287968,0.154608365565394,0.00308964294155989
1999,0.323199459592237,0.125567121100467,0.168374785065095,0.0292575534266755,0.239428495475973,0.0976586071729691,0.133728759265515,0.00804112903748966
2000,0.323708762012437,0.12976400979838,0.16200113058225,0.0319436216318075,0.240385362327661,0.102057540571722,0.128925915464117,0.00940190629182164
2001,0.323932168930783,0.119849366971629,0.180754397313865,0.0233284046452887,0.237548586557121,0.0958738930652004,0.136311297811916,0.00536339568000485
2002,0.328266419122766,0.129576854645316,0.167851783089657,0.0308377813877927,0.243672632212967,0.104841808578509,0.13223887714652,0.00659194648793698
2003,0.325180870631515,0.118605150214592,0.191186388718578,0.015389331698345,0.241805971580924,0.10262881538872,0.134329887120853,0.00484726907135014
2004,0.32066778472328,0.121369111144992,0.173901509376429,0.0253971642018594,0.235952851145083,0.101917525091666,0.128155250274,0.00588007577941682
2005,0.322391221519469,0.120867179760725,0.184070715537606,0.017453326221138,0.233168214938736,0.107539918092383,0.120275670243935,0.00535262660241795
2006,0.333466843294632,0.124620899244137,0.191207044338814,0.0176388997116812,0.242726232963463,0.109630643597456,0.127720864293644,0.0053747250723627
2007,0.331247291860105,0.130191891055401,0.175899102445063,0.0251562983596411,0.238009768258294,0.118332105111803,0.110727439547399,0.00895022359909144
2008,0.33681774349084,0.136599164255867,0.168106718097075,0.0321118611378989,0.242823375362669,0.123630793174358,0.101312440660622,0.0178801415276886
2009,0.3339173553719,0.132254023488473,0.170822096563723,0.0308412353197037,0.240343458382011,0.121399207190444,0.109973890708911,0.00897036048265641
2010,0.335648179652942,0.119731201088806,0.196492004083021,0.0194249744811149,0.245063070086875,0.115170676826495,0.123585511574615,0.00630688168576543
2011,0.34276102492592,0.120104584277497,0.203792923130556,0.0188635175178673,0.256109331290265,0.119445298523594,0.131276168369423,0.00538786439724787
2012,0.349505165851006,0.119622983505528,0.215040783034258,0.0148413993112202,0.253513840082093,0.0984866980364736,0.15216729245606,0.00285984958955862
2013,0.34506374573532,0.120538696354821,0.209042916142934,0.0154821332375653,0.2540748075855,0.102651723551457,0.148375417325687,0.0030476667083551
2014,0.341855873642645,0.130702683298932,0.181505878129768,0.0296473122139452,0.252082887656073,0.106610682446092,0.138731566163666,0.00674063904631561
2015,0.335166837066641,0.11903708523097,0.199235988474765,0.0168937633609061,0.242234900238493,0.0936017070837051,0.145219117976652,0.00341407517813674
2016,0.332709190016258,0.117963086927417,0.202658506263747,0.012087596825094,0.238652371887152,0.0866856099845296,0.148767962347726,0.00319879955489707
2017,0.339257120862202,0.115688991531948,0.211112394149346,0.0124557351809084,0.240257384035143,0.0908295973019311,0.147233464392477,0.0021943223407353
2018,0.339351209450591,0.120993812113257,0.202287642977686,0.0160697543596479,0.242015372391908,0.0880117899902176,0.150574917029997,0.00342866537169309
2019,0.333912706110572,0.11352861299709,0.207604267701261,0.0127798254122213,0.237903693316515,0.0901117757995528,0.145447596727288,0.00234432078967342
2020,0.351638551627806,0.115020951971634,0.226870097775868,0.00974750188030427,0.254718074759662,0.0935959292652564,0.159347122705511,0.00177502278889438
2021,0.346606325638158,0.111072917726025,0.229138614868301,0.00639479304383267,0.250350837248416,0.0894163166559655,0.159368836184145,0.00156568440830546
