"Total energy expenditures per capita, dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HI,353.8,386.1,392.3,447.5,591.7,735.2,786.5,892.6,984.4,1282,1778.2,2106.7,1956.4,1794.6,1815,1834.1,1390,1386.3,1475.1,1653.1,1902.1,1785.1,1712.7,1720,1787,1840.4,1915.5,1875.6,1721.9,1787.3,2229.1,2267,2168.5,2666.2,3160.1,3865.4,4374.3,4695,5125.6,3567.8,4545.3,5848.1,5941.5,5831,5489.8,4150.6,3650,4098.3,4798.5,4755.2,3235.7,4385.7
IA,445.1,470.2,513.7,592,722.7,820.6,935.1,1054.2,1116.8,1436.8,1668.8,1875.9,1965.1,1940.1,1906.1,1910.3,1717.3,1667.2,1744.7,1788.4,1884.7,1901.2,1912.8,2051.7,2081.7,2112.1,2287,2288.6,2131.3,2266.5,2794.6,2791.6,2637.3,2891.5,3388.8,4134.4,4541.1,4891.1,5715.5,4417.3,4827.3,5541.9,5206.7,5427.6,5615.5,4295.8,4048.5,4435,4972.9,4744.2,4021.6,5245.4
ID,485.1,507.7,537.2,596.3,755.5,883.5,944.9,1018.1,1072.6,1324.8,1546.2,1678.5,1664.9,1609.1,1638.8,1699.6,1444.6,1543.9,1597.6,1735.1,1827,1817.6,1797,1854.8,1875.6,1887.3,2072.1,2018.3,1891.7,2023,2414.3,2411.5,2395.9,2337.5,2687.4,3172.7,3456.4,3612.4,3974.4,3167,3678.3,4235.3,4258.4,4385,4377.8,3711.2,3395.1,3684.3,3965.3,3772.1,3217.3,4056.6
IL,443.2,462.1,502,568.8,737.1,821.3,923.4,1035.6,1152.4,1367.6,1614.1,1756.8,1774,1856.3,1813.2,1839,1674.1,1723.5,1754.6,1783.2,1882,1862.8,1817.3,1916.9,1877.7,1913.8,2053.1,2037.7,1844.6,1931.8,2322.9,2332.2,2143.8,2403.4,2668.3,3286.6,3371.7,3731.2,4298.2,3177.5,3520,3948.9,3701,3778.8,4012.2,3163,2934.2,3186.2,3537.6,3353.4,2667.5,3556
IN,491.9,517.6,566.1,640.8,862.1,966.1,1036,1199.6,1323.5,1575.4,1826.1,2054.6,2008.4,2008.1,2130.5,2153.5,1914.8,1956.7,2007.5,2090.3,2193.6,2140.1,2055.2,2130.7,2197.4,2170.4,2303.6,2342.5,2193.9,2321,2734.9,2771,2665.6,3058.7,3325.9,3993.6,4276.3,4436.3,5053.7,3809.5,4215.4,4934.7,4890.3,5048.6,5149.1,4156.4,3752.7,4015.6,4405.4,4277.2,3575.4,4570.4
KS,408.6,428.7,455.1,524.9,678.1,758.2,891,1000.7,1093.2,1449.6,1722.2,1944.4,1993.2,2020.4,2218.8,2119.6,1953.9,2010.4,2015,2049.9,2141.6,2041.9,2078.3,2041.2,2074,2031.9,2277.5,2267.3,2107.8,2247.5,2694,2609.4,2426.5,2922.4,3216.7,3388.8,3803.3,4518.1,4796.8,3639.6,4063.6,4601.1,4541.4,4762.9,4996.8,3862.1,3612.3,3840.5,4320.6,4121.6,3492.7,4311.9
KY,401.1,413.6,446.5,503.9,657.1,771.3,863.6,982,1054.3,1299,1639.2,1791.6,1805.2,1791,1865.4,1838.4,1649.8,1743,1833.6,1954.2,2000.5,1960.4,1951.2,2019.3,2030.7,2055.6,2156.7,2232.6,2023.9,2177.2,2546.2,2582,2546.6,2737.4,3261.9,3976.7,4298.5,4631.4,5294.4,4055,4694.7,5460.4,5238.5,5157.6,5031.6,3946.2,3644.3,3894.6,4413.2,4208.3,3419.5,4543.9
LA,497.7,519.5,584,691.4,1076.2,1123.7,1317.3,1616,1732.4,2320.6,3072.6,3890.1,3575.5,3335.2,3309,3155.9,2576.8,2664.6,2709.3,2957.2,3415.6,3298.1,3079.9,3208.5,3263.6,3225,3881.1,3736.7,3090.2,3450.3,5176.3,4627.2,4306.4,5076,6314.6,7747.9,9436.2,10012.9,13046.7,7728.5,8946.5,10415.5,8629.1,8498.3,8491.9,5944.6,5352.1,6348.8,7016.7,6418.7,5214.7,7839.3
MA,402.4,449,478.5,538.2,759.3,815.7,900.8,975.9,983.9,1125.9,1430.6,1660.7,1626.6,1589.5,1673.6,1639,1440.6,1505.1,1521.9,1665.3,1788.5,1798.1,1829.2,1848.8,1888.2,1889.5,1988.9,2044.4,1801,1824.8,2265.2,2469.3,2209.3,2522.6,2778.4,3368.4,3793,4007.6,4518.2,3485.4,3773.8,4202.8,4023.3,4179,4162.9,3543.3,3154.4,3400,3935.9,3740.2,2987.2,3635.6
MD,386.4,421.4,448.3,510.4,715.8,786.4,866.3,938,1012.9,1219.1,1522.5,1691.5,1656.2,1650.9,1693.4,1677.1,1512.3,1542.8,1554.5,1662.5,1676.2,1668,1673.9,1740,1754.9,1766.3,1890.6,1864.6,1763.5,1864.1,2119.8,2087.8,1982.6,2266.6,2544.4,3116.5,3448,3767.8,4251.7,3514.3,3755.1,4032.5,3901,3936.4,3941.8,3290.5,2978.7,3141.2,3373.6,3217.5,2583.8,3211.1
ME,439.5,487.8,510.9,551.3,801.2,815.2,931.6,1058.5,1045.6,1267.9,1585.4,1784.6,1922.6,1637.6,1810.6,1884.6,1701.8,1730.7,1926.3,1974.2,2151.9,2144.6,2163.4,2195.6,2289,2291.6,2473.3,2473.5,2199.7,2339.9,2924.9,2779.4,2811.6,3136.8,3543.8,4261,4695.4,5248.2,5711.4,4332.9,4737.6,5567.6,5335.9,5594.2,5687.5,4545.3,3956.9,4187.3,4582.3,4365.1,3583.3,4379.5
MI,418.3,444.2,481.7,555.4,734,829.2,927.8,997.7,1070.6,1262.3,1518,1638.9,1625.5,1655.5,1724.4,1795.5,1593.2,1585.7,1656,1729.7,1797.2,1788.3,1771.8,1777.2,1797.2,1827.6,1957.8,1951.7,1818.3,1966.9,2232.6,2180.9,2208,2402.3,2662.5,3196.4,3433.3,3608.4,3921.3,3159.3,3508.7,4018.8,3958.7,4112.2,4106.6,3323.6,3109.3,3278.4,3633.2,3482.7,2887.8,3664.4
MN,432.6,457.2,489.9,545.4,710.5,787.7,876.3,943.4,1025.4,1249.7,1484.9,1626,1725.3,1701.1,1770,1763,1509.8,1478.8,1580.3,1657.6,1736.9,1735.2,1733.4,1821.9,1840,1879.7,2079.8,2057.7,1874.3,1992.4,2477.6,2492.8,2320.9,2634.8,2981.1,3566.5,3842.4,4176.8,4699.2,3491.5,3934.2,4531.8,4463.9,4648.2,4718.4,3605.5,3368.9,3678.9,4059.1,3897.4,3089.6,3970.9
MO,413.3,442,469.2,527,669.9,757.2,857.3,963.5,1038.6,1276.8,1510.6,1626.2,1725.9,1700.9,1664.5,1686.6,1493.9,1581,1637.7,1712.3,1824.9,1795.7,1741.6,1815.1,1836.7,1864.9,2093.1,2087.4,1950.3,2046.9,2359.2,2447.5,2295.2,2530.3,2825.3,3398.6,3664.7,3947.3,4348,3360.8,3841.7,4410.5,4277.4,4385.3,4394.4,3569.8,3273.3,3489.3,3876.9,3661.3,3068.8,3861.8
MS,377,415,454.7,501.4,651.6,674.1,784.3,926.9,990.3,1243.3,1510.1,1793.7,1778.1,1646.9,1651.2,1661.8,1481.9,1567.9,1652.9,1757,1921.2,1908.2,1888.3,1940.8,1948.3,1969.1,2158.1,2124.5,1998,2155.1,2666.6,2653.3,2537.4,2889.1,3286.6,3921.5,4484.8,4571.8,5258.1,3906.4,4342.6,4883.2,4868.2,4883.6,4992,4050,3659.1,3973.1,4392.5,4206.1,3577.6,4622.1
