"All petroleum products total consumption, excluding biofuels, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HI,94547,113496,108072,113818,122004,129295,144166,162476,181142,189090,195388,210390,216566,222784,210553,212880,218380,231980,235827,255346,249539,223133,203563,205190,216113,232123,227619,228894,268023,280097,292762,266571,272480,239247,257889,252252,238601,230468,233508,229893,235191,239817,257441,269414,282864,293847,295474,303540,239055,238955,262031,266019,259024,260346,250169,254200,252070,262205,261466,264338,187858,222977
IA,284968,276695,284716,290839,291326,293900,317679,331001,341249,348512,346563,358258,374107,395831,377015,373735,410376,417143,414715,425775,350023,328458,339038,318754,312600,313930,318227,309604,317882,312206,304549,304543,314515,339473,353616,361136,365993,362421,386346,401164,395259,381227,396593,375212,414787,428465,435701,420924,423828,416419,417223,415548,392006,415110,424219,415141,424923,409164,418691,430621,404169,411463
ID,73643,77658,81066,79238,84040,86807,87936,104391,110706,105973,105159,107407,114019,117922,120239,125511,130343,134913,143602,135383,112680,98602,96011,100634,98726,101978,103914,105281,108434,115788,120117,120517,118730,128448,132069,140739,149928,146540,152565,165044,167339,155395,160021,140328,156496,159726,165353,162468,152495,144545,161121,157999,153915,157372,162438,175254,176049,176634,180666,183278,175803,188712
IL,1101969,1102481,1116454,1146719,1163221,1216922,1232038,1283202,1380821,1430597,1487160,1491335,1642384,1707354,1643496,1621647,1671086,1711734,1779961,1679342,1447866,1264078,1167292,1197343,1098184,1088921,1111357,1159731,1207204,1104564,1101003,1052333,1078468,1102832,1108660,1121251,1169912,1169735,1164470,1273008,1259616,1230341,1196049,1238292,1285139,1403414,1340467,1324077,1274262,1196579,1204917,1182982,1140419,1169110,1197140,1245106,1247540,1251487,1254095,1239327,1056447,1140285
IN,600655,593230,603338,615254,620329,647426,659189,657294,701445,711119,731101,769271,823822,862088,851571,814685,877430,910868,929585,850765,742766,683466,638602,636475,715014,712406,758023,798618,771753,792209,815938,783275,779449,801174,829694,808870,815036,819146,816296,844706,850050,801895,852562,885902,865025,859731,860450,834645,778521,747721,719848,710963,683759,721544,734901,750409,726396,700249,703718,710201,652153,714790
KS,252417,253398,264169,268945,262682,276842,279358,282028,300262,305110,302912,306270,333077,352878,354364,384086,402421,408962,423333,439116,372660,335099,337084,344475,407423,391915,390775,395580,432737,411768,399100,366669,382061,352596,346720,353830,371416,374645,377110,420488,389363,377245,361909,419163,412120,341906,351672,402282,349719,346515,348037,328517,329269,338696,356192,340937,342440,335329,343686,352445,334609,338260
KY,200419,199248,222878,228153,234448,255784,281670,292795,319352,341218,357631,360989,387962,417414,408739,415496,446144,478067,497715,502174,481043,432910,429833,449654,457857,444399,450380,481870,511647,527575,501555,497931,528196,526612,528177,540851,527252,563514,580206,606779,594541,627963,683158,644470,703989,697645,699444,690076,645708,640072,644203,630806,619187,582930,580146,590257,600376,577856,601468,595296,540200,585943
LA,466937,469790,489667,578993,626747,637032,695295,750617,820845,885800,900341,922075,1040684,1192015,1258807,1205113,1378762,1605874,1676335,1875478,1859619,1843551,1680330,1560429,1459360,1426499,1523944,1502306,1587062,1572980,1611729,1646691,1735750,1759008,1865978,1819022,1955598,1929691,1850600,1972528,2166184,1965937,1986027,1954979,2065896,1975571,2127341,2130984,2193330,2043025,1961488,1949628,1806173,1762715,1698933,1716529,1700751,1814440,1729715,1736963,1773653,1840317
MA,804058,823920,844011,810041,838538,956316,969386,1042398,1084064,1134960,1240487,1251293,1307345,1309889,1161502,1124579,1215625,1195175,1171738,990909,910027,849197,798283,749558,803719,793263,903068,866120,877092,888008,806141,779969,767820,741938,718173,674294,676073,725016,745338,715870,739514,739924,711365,730803,736401,737337,648398,647827,621929,571126,587698,574191,536809,564699,563978,577821,558903,561908,576328,572180,449040,502317
MD,353177,348191,369692,373975,391581,410242,432553,412949,439115,465103,528914,587854,650889,695256,671671,593652,607311,617684,627433,600818,532945,496635,472074,486226,517865,484616,485939,516249,533782,571851,505810,492584,494384,517723,520692,482528,502599,509621,542867,568415,546998,566433,544694,570714,590242,603981,538678,531469,507179,508121,498084,480594,470103,478356,484711,499114,473740,470666,477626,474069,397572,433109
