State.Abb,Geography,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RI,Coastal,1025,1031,1040,1050,1057,1066,1071,1075,1068,1063,1057,1055,1054,1054,1054,1055,1056,1057,1057,1058,1057,1059,1058,1096,1097
SC,Coastal,3860,3919,3975,4024,4065,4108,4150,4211,4270,4358,4444,4529,4590,4636,4673,4719,4766,4827,4896,4963,5027,5092,5158,5131,5193
SD,NonCoastal,744,746,750,756,758,760,764,770,775,783,792,799,807,816,824,834,843,850,855,864,874,879,887,887,896
TN,NonCoastal,5499,5570,5639,5704,5751,5796,5848,5911,5991,6089,6176,6247,6306,6356,6400,6456,6497,6545,6595,6651,6715,6778,6830,6920,6968
TX,Coastal,19740,20158,20558,20944,21320,21690,22031,22394,22778,23360,23832,24309,24802,25242,25646,26084,26480,26963,27469,27914,28291,28625,28987,29218,29559
UT,NonCoastal,2120,2166,2203,2245,2284,2325,2360,2402,2458,2526,2598,2663,2723,2775,2815,2854,2899,2938,2984,3044,3104,3155,3203,3282,3339
VA,Coastal,6829,6901,7000,7106,7198,7287,7367,7476,7577,7674,7751,7833,7926,8024,8102,8187,8256,8315,8367,8418,8471,8511,8557,8632,8657
VT,NonCoastal,597,600,605,610,612,615,618,620,621,623,623,624,625,626,627,626,627,626,626,624,625,625,624,642,647
WA,Coastal,5675,5770,5843,5911,5986,6052,6104,6179,6257,6371,6462,6562,6667,6743,6827,6899,6966,7058,7167,7300,7428,7527,7614,7719,7741
WI,Coastal,5266,5298,5333,5374,5407,5445,5479,5514,5546,5578,5611,5641,5669,5691,5706,5721,5738,5753,5763,5775,5793,5809,5825,5892,5880
WV,NonCoastal,1819,1816,1812,1807,1801,1805,1812,1816,1820,1828,1834,1840,1848,1854,1857,1857,1855,1851,1843,1832,1819,1806,1795,1790,1786
WY,NonCoastal,489,491,492,494,495,500,503,509,514,523,535,546,560,565,567,577,583,583,586,585,580,579,580,577,579
