State.Abb,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
SC,134608,139526,146104,150156,151016,155275,161269,164083,169489,173371,178475,176568,168852,172131,176083,177618,180882,185987,192020,198006,202494,207773,212483,208481,221045
SD,24951,26440,27463,29386,29455,32785,32979,34270,35842,36351,37756,39081,39987,40370,43050,43902,44147,44847,45665,46076,45878,46454,46641,46683,49558
TN,210637,223711,230896,233732,233363,240972,248994,260554,268392,274879,273224,274571,264737,268450,276898,286342,289795,294130,304484,310143,318412,322649,329112,316325,352461
TX,870724,925557,961513,995661,1020538,1043567,1050609,1109477,1141374,1228547,1286193,1282089,1277295,1309962,1353600,1421180,1484700,1529617,1605902,1619954,1664219,1729287,1785318,1734321,1815064
UT,80659,85725,89282,92498,93557,95383,97017,102847,110046,118482,123835,124226,121431,123902,127993,129513,133113,136994,141721,147962,154367,163327,171135,171370,186910
VA,298922,315091,332373,348327,360601,364932,377724,392941,412085,419871,424940,431217,427649,441242,444288,445974,449064,447678,455162,459966,466725,477820,487252,473818,505351
VT,20049,20678,21830,23017,23752,24570,25465,26855,26996,27129,26887,27758,27222,28404,29014,29241,28682,28912,29119,29408,29501,29616,29903,28649,30547
WA,271271,288207,308950,311210,303674,307583,312556,319849,340428,353264,373181,381290,370137,380990,387745,400531,410874,424468,441952,458264,482824,515630,535981,532862,575129
WI,209112,216956,225784,232412,236089,240543,247766,256167,263699,268246,269934,266627,258761,266831,272813,277107,278015,283981,289077,291920,292311,299416,303891,291716,306467
WV,58934,59847,61784,61666,61819,62834,63146,64160,65678,66861,67119,68484,68192,69154,70361,70322,70550,70533,70663,70011,71459,73114,72543,69712,71343
WY,24960,25530,26598,27435,29131,29777,30673,31696,33484,37813,40632,42868,41546,40057,39768,38855,38850,39559,40418,38189,37429,37988,38628,36257,36400
