Coal Emissions by State (1970 - 2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change from 1970 - 2021,
million metric tons of carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute
Idaho,0.8,1.2,1.0,1.0,1.1,1.3,1.4,1.2,1.1,1.1,0.9,0.9,1.0,0.9,0.9,0.8,0.8,0.8,0.9,0.9,1.0,1.2,0.9,0.9,0.9,0.8,0.7,0.6,0.8,0.8,1.3,1.1,1.0,1.0,1.2,1.1,0.8,1.0,0.8,0.8,0.8,0.7,0.5,0.8,0.7,0.4,0.2,0.2,0.3,0.2,0.3,0.3,-61.43%,-0.5
Illinois,87.1,79.9,80.7,83.8,82.8,80.1,81.7,81.6,79.8,80.2,80.1,75.5,73.8,80.4,78.9,76.9,76.3,74.2,70.6,68.3,70.9,71.9,66.3,76.9,78.1,78.3,87.2,92.4,90.0,91.0,96.6,93.5,94.0,96.3,102.0,100.0,99.7,104.0,105.2,96.8,102.0,100.3,92.4,97.9,97.0,81.2,67.0,65.4,67.3,56.5,37.4,49.9,-42.75%,-37.2
Indiana,94.3,88.3,98.4,102.8,97.2,99.4,99.7,104.1,100.9,110.0,108.6,108.0,94.8,104.1,114.0,112.4,106.8,110.1,119.7,122.2,128.8,126.8,122.3,124.7,122.7,127.2,130.0,134.7,137.1,140.0,151.2,148.7,146.6,149.0,153.1,151.5,150.8,149.4,148.2,129.9,137.7,126.7,113.3,113.8,116.1,95.8,90.2,88.5,93.9,78.2,63.7,71.7,-23.91%,-22.5
Iowa,12.4,11.8,13.8,14.1,12.2,12.5,16.1,17.6,19.1,20.9,22.3,24.0,23.2,24.1,23.9,25.6,24.9,27.3,29.1,30.2,31.8,33.2,31.3,32.6,33.1,35.4,36.4,37.2,40.4,41.1,42.4,42.2,42.1,42.4,42.3,41.0,41.5,44.3,46.3,42.4,47.1,44.2,40.3,38.4,38.3,33.3,28.5,28.7,31.2,25.5,17.5,25.3,103.78%,12.9
Kansas,1.0,1.0,1.2,2.3,3.7,5.9,7.0,8.5,13.0,14.0,18.2,20.2,20.2,22.0,26.1,24.7,23.9,25.4,25.6,25.5,25.8,25.6,24.1,28.7,28.6,27.5,32.2,29.5,29.4,31.3,34.6,33.8,37.4,37.2,36.9,36.3,34.8,37.8,35.5,34.0,34.4,33.1,29.4,31.2,30.2,26.1,24.2,20.7,21.8,18.9,18.6,21.0,1963.53%,20.0
Kentucky,49.9,52.1,55.3,54.4,56.3,53.0,58.6,58.3,58.6,57.9,60.9,63.1,59.6,60.5,63.7,68.0,71.2,70.9,78.1,72.9,76.3,76.4,77.3,87.3,84.9,88.2,90.3,92.7,91.1,93.9,94.9,96.4,90.6,90.1,91.8,94.2,97.6,97.3,97.7,89.4,96.4,96.5,86.9,87.4,87.2,76.1,70.4,61.1,62.7,54.9,46.2,52.5,5.24%,2.6
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2,2.3,6.1,10.1,11.3,15.1,16.3,16.4,20.2,19.7,19.9,20.4,21.3,21.2,21.9,20.6,19.5,21.5,21.4,21.7,24.1,22.9,22.2,23.7,24.5,24.2,25.3,23.8,25.1,24.1,24.8,25.8,22.8,21.8,20.0,16.7,13.4,13.6,13.2,8.7,4.7,9.2,inf,9.2
Maine,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.7,0.6,0.5,0.5,0.9,0.6,0.7,0.6,1.0,1.5,2.6,1.6,1.7,1.0,0.9,0.8,0.7,0.7,0.9,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-26.28%,-0.1
Maryland,29.0,25.6,21.1,23.9,20.3,18.4,22.9,17.7,19.6,22.5,22.1,19.7,20.4,21.9,25.5,24.1,26.0,27.3,28.5,28.0,27.1,26.1,23.6,24.8,25.5,27.5,27.8,27.5,28.9,29.0,29.7,30.3,31.1,31.5,31.2,31.5,31.0,31.3,29.5,25.5,25.4,23.0,18.4,17.5,19.2,15.9,15.6,10.2,11.9,7.4,4.8,6.6,-77.17%,-22.4
Massachusetts,2.0,1.2,0.7,0.5,2.5,2.3,0.4,0.4,0.3,0.4,2.2,2.5,8.5,9.2,11.0,10.5,9.5,11.2,11.1,11.6,10.8,11.2,10.7,9.4,9.7,10.0,10.8,11.7,10.4,10.8,10.9,10.4,11.3,10.5,10.0,11.4,10.7,11.5,10.2,8.8,8.0,4.1,2.3,4.0,2.9,2.3,1.9,1.2,0.0,0.0,0.0,0.0,-100.00%,-2.0
